external_id,game,set_code,collector_number,name,condition,printing,language,quantity,cost,date_acquired,comment
858aa831-b491-4f1e-bb56-33eeca14771d,mtg,DGM,34,Possibility Storm,LP,normal,en,1,0.0946,2026-06-20,airtable:Possibility Storm
42352,pokemon,BS,012/102,Ninetales,MP,holo,en,1,20.4,2026-06-14,airtable:Ninetales
d169a3b2-18ae-4414-98ef-d879676fdcc0,mtg,DGM,135,Wear // Tear,LP,normal,en,2,0.0946,2026-06-20,airtable:Wear // Tear
4cc785b0-0a77-4b02-b0b4-2bda2fc621cc,mtg,RAV,60,Muddle the Mixture,MP,normal,en,1,0.0946,2026-06-20,airtable:Muddle the Mixture
9a47999c-12d5-4e1a-a9c1-40a1757007f1,mtg,MOM,173,Wrenn's Resolve,MP,normal,en,2,0.0946,2026-06-20,airtable:Wrenn's Resolve
c912e984-1d27-4da2-9733-d56e437bcf58,mtg,CLB,193,Reckless Barbarian,LP,foil,en,1,0.0946,2026-06-20,airtable:Reckless Barbarian
ac2da0e8-cdc5-4ffc-8a5e-893c34b7dd45,mtg,BRC,8,March of Progress,LP,normal,en,1,0.0946,2026-06-20,airtable:March of Progress Retro Frame
6ac6fa0c-753e-4fbc-8a70-0f956503cf4e,mtg,ICE,166,Stromgald Cabal,HP,normal,en,1,0.0946,2026-06-20,airtable:Stromgald Cabal
2a6240e7-d3aa-40e9-a627-58e7bf62525c,mtg,DKA,149,Grafdigger's Cage,HP,normal,en,1,0.0946,2026-06-20,airtable:Grafdigger's Cage
ce15bf1d-debf-4e0f-a69d-a57619d4b0ee,mtg,FIN,348,"Sin, Spira's Punishment",NM,foil,en,1,0.0946,2026-06-20,"airtable:Sin, Spira's Punishment Borderless"
7208fcb8-83e6-44ce-af9a-ca1566825018,mtg,AVR,209,"Gisela, Blade of Goldnight",LP,normal,en,1,0.0946,2026-06-20,"airtable:Gisela, Blade of Goldnight"
c4e90bfb-d9a5-48a9-9ff9-b0f50a813eee,mtg,TDM,260,Maelstrom of the Spirit Dragon,NM,normal,en,1,0.0946,2026-06-20,airtable:Maelstrom of the Spirit Dragon
e3abbec4-202d-47ee-9472-b41d41f75372,mtg,MMA,121,Lava Spike,LP,normal,en,3,0.0946,2026-06-20,airtable:Lava Spike
caafe7da-0167-4c53-bbad-172f900d137b,mtg,USG,166,Victimize,MP,normal,en,1,0.0946,2026-06-20,airtable:Victimize
3132c128-e0bd-4524-9526-914b3c7181fc,mtg,STH,61,Lab Rats,LP,normal,en,1,0.0946,2026-06-20,airtable:Lab Rats
84505a4e-5715-4731-9831-0107ff79ae05,mtg,SLD,615,Sidewinder Sliver,DMG,foil,en,1,0.0946,2026-06-20,airtable:Sidewinder Sliver
7b4b3918-94f7-4981-9702-f01970fac37c,mtg,CMM,68,Wakening Sun's Avatar,LP,normal,en,1,0.0946,2026-06-20,airtable:Sliver Army // Sliver Double-Sided Token
25f98f02-9ada-4561-93fd-9cfcb0f48b5d,mtg,EMA,143,Pyrokinesis,MP,normal,en,1,0.0946,2026-06-20,airtable:Pyrokinesis
8d49825c-8264-40a5-9afc-c2601f95ec26,mtg,FIC,103,Cloud's Limit Break,NM,foil,en,1,0.0946,2026-06-20,airtable:Cloud's Limit Break Extended Art
c8265c39-d287-4c5a-baba-f2f09dd80a1c,mtg,CHK,131,Nezumi Shortfang // Stabwhisker the Odious,LP,normal,en,1,0.0946,2026-06-20,airtable:Nezumi Shortfang // Stabwhisker the Odious
ea96eeac-c316-4247-a81f-0ddf52675ebf,mtg,OTJ,18,Lassoed by the Law,MP,foil,en,1,0.0946,2026-06-20,airtable:Treasure // Zombie Rogue Double-Sided Token
8f7f06e8-d8ee-435c-965c-8e1302a8ec10,mtg,FUT,169,Dakmor Salvage,LP,normal,en,1,0.0946,2026-06-20,airtable:Dakmor Salvage
246762,pokemon,SWSH07,058/203,Dracozolt V,NM,holo,en,1,28.3762,2026-06-23,airtable:Draconozolt V
27907985-b5f6-4098-ab43-15a0c2bf94d5,mtg,EMN,15,"Bruna, the Fading Light",LP,normal,en,1,0.0946,2026-06-20,"airtable:Bruna, the Fading Light"
583d7386-3eb5-4f1d-8da9-f00e020a307b,mtg,SOM,211,Throne of Geth,HP,normal,en,1,0.0946,2026-06-20,airtable:Throne of Geth
